Start (ns),Duration (ns),CorrId,GrdX,GrdY,GrdZ,BlkX,BlkY,BlkZ,Reg/Trd,StcSMem (MB),DymSMem (MB),Bytes (MB),Throughput (MB/s),SrcMemKd,DstMemKd,Device,Ctx,GreenCtx,Strm,Name
1482349622,15264,340,512,1,1,256,1,1,34,0.000,0.000,,,,,NVIDIA GeForce RTX 3080 (0),1,,13,"raggedroute::ops::<unnamed>::unpermute_cta_token_vec4_kernel(const float *, const int *, const float *, float *, int, int)"
1482367478,26847,343,32,1,1,256,1,1,38,0.002,0.000,,,,,NVIDIA GeForce RTX 3080 (0),1,,13,"raggedroute::ops::<unnamed>::dense_gemm_tiled_scalar_kernel(const float *, const float *, float *, int, int, int)"
1482403541,1984,346,8,1,1,128,1,1,18,0.000,0.000,,,,,NVIDIA GeForce RTX 3080 (0),1,,13,"void raggedroute::ops::<unnamed>::topk_gate_local_pair_two_reduce_kernel<(int)8, (int)4>(const float *, int *, float *, int)"
1482409365,2176,349,1,1,1,256,1,1,22,0.000,0.000,,,,,NVIDIA GeForce RTX 3080 (0),1,,13,"raggedroute::ops::<unnamed>::histogram_exclusive_scan_fused_subwarp_kernel(const int *, int *, int *, int, int)"
1482413589,1760,351,,,,,,,,,,0.000,18.182,Device,,NVIDIA GeForce RTX 3080 (0),1,,13,[CUDA memset]
1482417685,3296,353,512,1,1,128,1,1,34,0.000,0.000,,,,,NVIDIA GeForce RTX 3080 (0),1,,13,"void raggedroute::ops::<unnamed>::token_permute_token_owned_top2_kernel<(int)128, (bool)1>(const float *, const int *, const int *, int *, float *, int *, int *, int, int)"
1482423509,410774,358,272,1,1,128,1,1,106,0.007,0.000,,,,,NVIDIA GeForce RTX 3080 (0),1,,13,"raggedroute::ops::<unnamed>::grouped_gemm_register16x32_async_v3_kernel(const float *, const float *, const int *, float *, int, int, int)"
1482841995,15040,361,512,1,1,256,1,1,34,0.000,0.000,,,,,NVIDIA GeForce RTX 3080 (0),1,,13,"raggedroute::ops::<unnamed>::unpermute_cta_token_vec4_kernel(const float *, const int *, const float *, float *, int, int)"
1482860651,26495,364,32,1,1,256,1,1,38,0.002,0.000,,,,,NVIDIA GeForce RTX 3080 (0),1,,13,"raggedroute::ops::<unnamed>::dense_gemm_tiled_scalar_kernel(const float *, const float *, float *, int, int, int)"
1482900170,1984,367,8,1,1,128,1,1,18,0.000,0.000,,,,,NVIDIA GeForce RTX 3080 (0),1,,13,"void raggedroute::ops::<unnamed>::topk_gate_local_pair_two_reduce_kernel<(int)8, (int)4>(const float *, int *, float *, int)"
1482904842,2208,370,1,1,1,256,1,1,22,0.000,0.000,,,,,NVIDIA GeForce RTX 3080 (0),1,,13,"raggedroute::ops::<unnamed>::histogram_exclusive_scan_fused_subwarp_kernel(const int *, int *, int *, int, int)"
1482908970,1856,372,,,,,,,,,,0.000,17.241,Device,,NVIDIA GeForce RTX 3080 (0),1,,13,[CUDA memset]
1482913226,3264,374,512,1,1,128,1,1,34,0.000,0.000,,,,,NVIDIA GeForce RTX 3080 (0),1,,13,"void raggedroute::ops::<unnamed>::token_permute_token_owned_top2_kernel<(int)128, (bool)1>(const float *, const int *, const int *, int *, float *, int *, int *, int, int)"
1482920586,413046,379,272,1,1,128,1,1,106,0.007,0.000,,,,,NVIDIA GeForce RTX 3080 (0),1,,13,"raggedroute::ops::<unnamed>::grouped_gemm_register16x32_async_v3_kernel(const float *, const float *, const int *, float *, int, int, int)"
1483341376,15008,382,512,1,1,256,1,1,34,0.000,0.000,,,,,NVIDIA GeForce RTX 3080 (0),1,,13,"raggedroute::ops::<unnamed>::unpermute_cta_token_vec4_kernel(const float *, const int *, const float *, float *, int, int)"
1483359104,26879,385,32,1,1,256,1,1,38,0.002,0.000,,,,,NVIDIA GeForce RTX 3080 (0),1,,13,"raggedroute::ops::<unnamed>::dense_gemm_tiled_scalar_kernel(const float *, const float *, float *, int, int, int)"
