case_id,profile_set,kernel,concept,status,metric,value,unit
crossover-cuda_candidate,basic,histogram_block_private_kernel,global_load_requests,not_collected,,,
crossover-cuda_candidate,basic,histogram_block_private_kernel,global_store_sectors,not_collected,,,
crossover-cuda_candidate,basic,histogram_block_private_kernel,global_store_requests,not_collected,,,
crossover-cuda_candidate,basic,histogram_block_private_kernel,local_load_instructions,not_collected,,,
crossover-cuda_candidate,basic,histogram_block_private_kernel,local_store_instructions,not_collected,,,
crossover-cuda_candidate,basic,histogram_block_private_kernel,tensor_active_pct,not_collected,,,
crossover-cuda_candidate,basic,histogram_block_private_kernel,eligible_warps_per_scheduler,not_collected,,,
crossover-cuda_candidate,basic,histogram_block_private_kernel,issue_active_pct,collected,sm__issue_active.avg.pct_of_peak_sustained_elapsed,0.7143018603494654,%
crossover-cuda_candidate,basic,histogram_block_private_kernel,stall_long_scoreboard,not_collected,,,
crossover-cuda_candidate,basic,histogram_block_private_kernel,stall_short_scoreboard,not_collected,,,
crossover-cuda_candidate,basic,histogram_block_private_kernel,stall_wait,not_collected,,,
crossover-cuda_candidate,basic,histogram_block_private_kernel,stall_barrier,not_collected,,,
crossover-cuda_candidate,basic,histogram_block_private_kernel,stall_math_pipe,not_collected,,,
crossover-cuda_candidate,basic,histogram_block_private_kernel,stall_memory_throttle,not_collected,,,
crossover-cuda_candidate_v1,basic,histogram_block_private_kernel,device_name,collected,device__attribute_display_name,NVIDIA GeForce RTX 3080,
crossover-cuda_candidate_v1,basic,histogram_block_private_kernel,cc_major,collected,device__attribute_compute_capability_major,8,
crossover-cuda_candidate_v1,basic,histogram_block_private_kernel,cc_minor,collected,device__attribute_compute_capability_minor,6,
crossover-cuda_candidate_v1,basic,histogram_block_private_kernel,sm_count,collected,device__attribute_multiprocessor_count,68,
crossover-cuda_candidate_v1,basic,histogram_block_private_kernel,duration_ns,collected,gpu__time_duration.sum,3552.0,ns
crossover-cuda_candidate_v1,basic,histogram_block_private_kernel,grid_size,collected,launch__grid_size,16,
crossover-cuda_candidate_v1,basic,histogram_block_private_kernel,block_size,collected,launch__block_size,256,
crossover-cuda_candidate_v1,basic,histogram_block_private_kernel,waves_per_sm,collected,launch__waves_per_multiprocessor,0.0392156862745098,
crossover-cuda_candidate_v1,basic,histogram_block_private_kernel,registers_per_thread,collected,launch__registers_per_thread,21,register/thread
crossover-cuda_candidate_v1,basic,histogram_block_private_kernel,shared_mem_per_block,collected,launch__shared_mem_per_block,1280,byte/block
crossover-cuda_candidate_v1,basic,histogram_block_private_kernel,occupancy_theoretical_pct,collected,sm__maximum_warps_per_active_cycle_pct,100.0,%
crossover-cuda_candidate_v1,basic,histogram_block_private_kernel,occupancy_achieved_pct,collected,sm__warps_active.avg.pct_of_peak_sustained_active,16.157680101751005,%
crossover-cuda_candidate_v1,basic,histogram_block_private_kernel,sm_throughput_pct,collected,sm__throughput.avg.pct_of_peak_sustained_elapsed,0.6839049675091035,%
crossover-cuda_candidate_v1,basic,histogram_block_private_kernel,memory_throughput_pct,collected,gpu__compute_memory_throughput.avg.pct_of_peak_sustained_elapsed,2.181037504381353,%
crossover-cuda_candidate_v1,basic,histogram_block_private_kernel,dram_throughput_pct,collected,gpu__dram_throughput.avg.pct_of_peak_sustained_elapsed,0.22180599369085174,%
crossover-cuda_candidate_v1,basic,histogram_block_private_kernel,dram_read_bytes,not_collected,,,
crossover-cuda_candidate_v1,basic,histogram_block_private_kernel,dram_write_bytes,not_collected,,,
crossover-cuda_candidate_v1,basic,histogram_block_private_kernel,l1_throughput_pct,collected,l1tex__throughput.avg.pct_of_peak_sustained_active,8.416685189301326,%
crossover-cuda_candidate_v1,basic,histogram_block_private_kernel,l1_hit_rate_pct,not_collected,,,
crossover-cuda_candidate_v1,basic,histogram_block_private_kernel,l2_hit_rate_pct,not_collected,,,
crossover-cuda_candidate_v1,basic,histogram_block_private_kernel,global_load_sectors,not_collected,,,
crossover-cuda_candidate_v1,basic,histogram_block_private_kernel,global_load_requests,not_collected,,,
crossover-cuda_candidate_v1,basic,histogram_block_private_kernel,global_store_sectors,not_collected,,,
crossover-cuda_candidate_v1,basic,histogram_block_private_kernel,global_store_requests,not_collected,,,
crossover-cuda_candidate_v1,basic,histogram_block_private_kernel,local_load_instructions,not_collected,,,
crossover-cuda_candidate_v1,basic,histogram_block_private_kernel,local_store_instructions,not_collected,,,
crossover-cuda_candidate_v1,basic,histogram_block_private_kernel,tensor_active_pct,not_collected,,,
crossover-cuda_candidate_v1,basic,histogram_block_private_kernel,eligible_warps_per_scheduler,not_collected,,,
crossover-cuda_candidate_v1,basic,histogram_block_private_kernel,issue_active_pct,collected,sm__issue_active.avg.pct_of_peak_sustained_elapsed,0.6839049675091035,%
crossover-cuda_candidate_v1,basic,histogram_block_private_kernel,stall_long_scoreboard,not_collected,,,
crossover-cuda_candidate_v1,basic,histogram_block_private_kernel,stall_short_scoreboard,not_collected,,,
crossover-cuda_candidate_v1,basic,histogram_block_private_kernel,stall_wait,not_collected,,,
crossover-cuda_candidate_v1,basic,histogram_block_private_kernel,stall_barrier,not_collected,,,
crossover-cuda_candidate_v1,basic,histogram_block_private_kernel,stall_math_pipe,not_collected,,,
crossover-cuda_candidate_v1,basic,histogram_block_private_kernel,stall_memory_throttle,not_collected,,,
crossover-cuda_naive,basic,histogram_naive_kernel,device_name,collected,device__attribute_display_name,NVIDIA GeForce RTX 3080,
crossover-cuda_naive,basic,histogram_naive_kernel,cc_major,collected,device__attribute_compute_capability_major,8,
crossover-cuda_naive,basic,histogram_naive_kernel,cc_minor,collected,device__attribute_compute_capability_minor,6,
crossover-cuda_naive,basic,histogram_naive_kernel,sm_count,collected,device__attribute_multiprocessor_count,68,
crossover-cuda_naive,basic,histogram_naive_kernel,duration_ns,collected,gpu__time_duration.sum,12672.0,ns
crossover-cuda_naive,basic,histogram_naive_kernel,grid_size,collected,launch__grid_size,128,
crossover-cuda_naive,basic,histogram_naive_kernel,block_size,collected,launch__block_size,256,
crossover-cuda_naive,basic,histogram_naive_kernel,waves_per_sm,collected,launch__waves_per_multiprocessor,0.3137254901960784,
crossover-cuda_naive,basic,histogram_naive_kernel,registers_per_thread,collected,launch__registers_per_thread,16,register/thread
crossover-cuda_naive,basic,histogram_naive_kernel,shared_mem_per_block,collected,launch__shared_mem_per_block,1024,byte/block
crossover-cuda_naive,basic,histogram_naive_kernel,occupancy_theoretical_pct,collected,sm__maximum_warps_per_active_cycle_pct,100.0,%
crossover-cuda_naive,basic,histogram_naive_kernel,occupancy_achieved_pct,collected,sm__warps_active.avg.pct_of_peak_sustained_active,10.366959244404413,%
crossover-cuda_naive,basic,histogram_naive_kernel,sm_throughput_pct,collected,sm__throughput.avg.pct_of_peak_sustained_elapsed,0.8553747021091783,%
crossover-cuda_naive,basic,histogram_naive_kernel,memory_throughput_pct,collected,gpu__compute_memory_throughput.avg.pct_of_peak_sustained_elapsed,2.298842151546241,%
crossover-cuda_naive,basic,histogram_naive_kernel,dram_throughput_pct,collected,gpu__dram_throughput.avg.pct_of_peak_sustained_elapsed,0.03149649430324277,%
crossover-cuda_naive,basic,histogram_naive_kernel,dram_read_bytes,not_collected,,,
crossover-cuda_naive,basic,histogram_naive_kernel,dram_write_bytes,not_collected,,,
crossover-cuda_naive,basic,histogram_naive_kernel,l1_throughput_pct,collected,l1tex__throughput.avg.pct_of_peak_sustained_active,2.541537673444843,%
crossover-cuda_naive,basic,histogram_naive_kernel,l1_hit_rate_pct,not_collected,,,
crossover-cuda_naive,basic,histogram_naive_kernel,l2_hit_rate_pct,not_collected,,,
crossover-cuda_naive,basic,histogram_naive_kernel,global_load_sectors,not_collected,,,
crossover-cuda_naive,basic,histogram_naive_kernel,global_load_requests,not_collected,,,
crossover-cuda_naive,basic,histogram_naive_kernel,global_store_sectors,not_collected,,,
crossover-cuda_naive,basic,histogram_naive_kernel,global_store_requests,not_collected,,,
crossover-cuda_naive,basic,histogram_naive_kernel,local_load_instructions,not_collected,,,
crossover-cuda_naive,basic,histogram_naive_kernel,local_store_instructions,not_collected,,,
crossover-cuda_naive,basic,histogram_naive_kernel,tensor_active_pct,not_collected,,,
crossover-cuda_naive,basic,histogram_naive_kernel,eligible_warps_per_scheduler,not_collected,,,
