run_id,case_id,operator,variant,measurement_level,cache_mode,process_runs,records,raw_samples,median_of_process_medians_us,all_samples_p50_us,all_samples_p95_us,all_samples_mean_us,all_samples_stddev_us,all_samples_cv,promotion_baseline
20260803T181855Z-86cfbe2a805d-rtx3080_topk_gate_release_v2,topk_gate.release.cub_pair.e15_t1024,topk_gate,cuda_subwarp_pair_top2_v2,L1_kernel_body,warm,5,5,150,8.42240005732,8.3046400547,9.5047679245475,8.5606400052708,1.7516874291393165,0.20462108301024218,False
20260803T181855Z-86cfbe2a805d-rtx3080_topk_gate_release_v2,topk_gate.release.cub_pair.e15_t1024,topk_gate,cuda_vector_pair_top2_v3,L1_kernel_body,warm,5,5,150,8.15104007721,8.289279937745,22.210048913949997,11.309670436381067,6.181138826285022,0.5465357157005628,False
20260803T181855Z-86cfbe2a805d-rtx3080_topk_gate_release_v2,topk_gate.release.cub_pair.e15_t128,topk_gate,cub_block_radix_top2,L1_kernel_body,warm,5,5,150,13.1737601757,13.27103972435,21.4732789993,14.517930658660667,2.9692274505510294,0.20452139635890448,False
20260803T181855Z-86cfbe2a805d-rtx3080_topk_gate_release_v2,topk_gate.release.cub_pair.e15_t128,topk_gate,cuda_local_pair_two_reduce_top2_v4,L1_kernel_body,warm,5,5,150,8.49919974804,8.586239814755,22.1706235409,11.167197887102134,5.444173002660079,0.4875146887965493,False
20260803T181855Z-86cfbe2a805d-rtx3080_topk_gate_release_v2,topk_gate.release.cub_pair.e15_t128,topk_gate,cuda_naive,L1_kernel_body,warm,5,5,150,8.78080010414,8.791040182115,9.48224008083,8.733695991834267,0.5036924822495294,0.05767231681987399,True
20260803T181855Z-86cfbe2a805d-rtx3080_topk_gate_release_v2,topk_gate.release.cub_pair.e15_t128,topk_gate,cuda_subwarp_pair_top2_v2,L1_kernel_body,warm,5,5,150,8.49920004606,8.70400011539,22.610944509499998,11.344964273770934,5.603942960171857,0.49395862560166276,False
20260803T181855Z-86cfbe2a805d-rtx3080_topk_gate_release_v2,topk_gate.release.cub_pair.e15_t128,topk_gate,cuda_vector_pair_top2_v3,L1_kernel_body,warm,5,5,150,8.37119996548,8.432639837265,9.293824106450998,8.485888016223667,0.495849748302813,0.05843227572115343,False
20260803T181855Z-86cfbe2a805d-rtx3080_topk_gate_release_v2,topk_gate.release.cub_pair.e15_t16,topk_gate,cub_block_radix_top2,L1_kernel_body,warm,5,5,150,12.9177600145,13.2505595684,21.81427204607999,14.622993119556002,3.257988697741747,0.2227990310263286,False
20260803T181855Z-86cfbe2a805d-rtx3080_topk_gate_release_v2,topk_gate.release.cub_pair.e15_t16,topk_gate,cuda_local_pair_two_reduce_top2_v4,L1_kernel_body,warm,5,5,150,8.87807995081,8.82687985897,11.516928017124997,9.112029866376066,1.240477690825444,0.13613626261288725,False
20260803T181855Z-86cfbe2a805d-rtx3080_topk_gate_release_v2,topk_gate.release.cub_pair.e15_t16,topk_gate,cuda_naive,L1_kernel_body,warm,5,5,150,8.57088029385,8.57088029385,20.747215628619998,10.898459732532666,4.937418665051811,0.4530382078041056,True
20260803T181855Z-86cfbe2a805d-rtx3080_topk_gate_release_v2,topk_gate.release.cub_pair.e15_t16,topk_gate,cuda_subwarp_pair_top2_v2,L1_kernel_body,warm,5,5,150,9.02655988932,8.862720131875,31.990784406645,13.2627797643332,9.292596061466687,0.7006522182066772,False
