study_id,operator,case_id,measurement_level,cache_mode,candidate_variant,baseline_variant,candidate_p50_us,baseline_p50_us,p50_speedup,candidate_p95_us,baseline_p95_us,p95_speedup,candidate_cv,baseline_cv,candidate_workspace_bytes,baseline_workspace_bytes,process_direction_wins,process_direction_pairs
topk_v4_vs_exact_naive,topk_gate,topk_gate.v4_preflight.in_tree.e8_t2048,L2_operator_steady,warm,cuda_local_pair_two_reduce_top2_v4,cuda_naive,8.7808,8.67328,0.987755,11.24864,11.739136,1.043605,0.135313,0.137754,0,0,2,5
topk_v4_vs_exact_naive,topk_gate,topk_gate.v4_preflight.in_tree.e8_t32,L2_operator_steady,warm,cuda_local_pair_two_reduce_top2_v4,cuda_naive,9.2672,9.19552,0.992265,11.7888,10.405888,0.882693,0.112072,0.122987,0,0,2,5
topk_v4_vs_exact_naive,topk_gate,topk_gate.v4_preflight.in_tree.e8_t4096,L2_operator_steady,warm,cuda_local_pair_two_reduce_top2_v4,cuda_naive,8.51456,8.48896,0.996993,9.310208,11.068416,1.188847,0.116542,0.144124,0,0,2,5
topk_v4_vs_exact_naive,topk_gate,topk_gate.v4_preflight.in_tree.e8_t512,L2_operator_steady,warm,cuda_local_pair_two_reduce_top2_v4,cuda_naive,8.70912,8.75008,1.004703,11.262976,13.244416,1.175925,0.129117,0.158895,0,0,2,5
topk_v4_vs_external_envelope,topk_gate,topk_gate.v4_preflight.library.e16_t128,L1_kernel_body,warm,cuda_local_pair_two_reduce_top2_v4,vllm_row_packed_top2,8.61184,9.14944,1.062426,9.999872,11.23072,1.123086,0.095352,0.12575,0,0,4,5
topk_v4_vs_external_envelope,topk_gate,topk_gate.v4_preflight.library.e16_t2048,L1_kernel_body,warm,cuda_local_pair_two_reduce_top2_v4,vllm_row_packed_top2,8.82688,9.23648,1.046404,12.154368,12.38784,1.019209,0.127904,0.148309,0,0,1,5
topk_v4_vs_external_envelope,topk_gate,topk_gate.v4_preflight.library.e16_t32,L1_kernel_body,warm,cuda_local_pair_two_reduce_top2_v4,vllm_row_packed_top2,8.70912,9.18528,1.054674,9.563648,11.47648,1.200011,0.139672,0.11136,0,0,5,5
topk_v4_vs_external_envelope,topk_gate,topk_gate.v4_preflight.library.e16_t4096,L1_kernel_body,warm,cuda_local_pair_two_reduce_top2_v4,vllm_row_packed_top2,8.80128,8.60672,0.977894,12.058112,11.587584,0.960978,0.12623,0.138646,0,0,1,5
topk_v4_vs_external_envelope,topk_gate,topk_gate.v4_preflight.library.e16_t512,L1_kernel_body,warm,cuda_local_pair_two_reduce_top2_v4,vllm_row_packed_top2,8.7808,9.14944,1.041982,13.30176,11.731456,0.881948,0.167308,0.134202,0,0,4,5
topk_v4_vs_external_envelope,topk_gate,topk_gate.v4_preflight.library.e2_t128,L1_kernel_body,warm,cuda_local_pair_two_reduce_top2_v4,vllm_row_packed_top2,8.75008,8.83712,1.009947,12.288,10.87232,0.884792,0.133285,0.131752,0,0,3,5
topk_v4_vs_external_envelope,topk_gate,topk_gate.v4_preflight.library.e2_t2048,L1_kernel_body,warm,cuda_local_pair_two_reduce_top2_v4,vllm_row_packed_top2,8.66304,9.22112,1.064421,11.495936,11.683841,1.016345,0.138952,0.134523,0,0,5,5
topk_v4_vs_external_envelope,topk_gate,topk_gate.v4_preflight.library.e2_t32,L1_kernel_body,warm,cuda_local_pair_two_reduce_top2_v4,vllm_row_packed_top2,8.41216,9.22112,1.096166,11.278848,11.85792,1.051341,0.129163,0.126326,0,0,4,5
topk_v4_vs_external_envelope,topk_gate,topk_gate.v4_preflight.library.e2_t4096,L1_kernel_body,warm,cuda_local_pair_two_reduce_top2_v4,vllm_row_packed_top2,8.6528,8.576,0.991124,10.845184,11.5456,1.064583,0.132177,0.134694,0,0,2,5
topk_v4_vs_external_envelope,topk_gate,topk_gate.v4_preflight.library.e2_t512,L1_kernel_body,warm,cuda_local_pair_two_reduce_top2_v4,vllm_row_packed_top2,8.58112,9.216,1.073986,10.870784,12.14464,1.117182,0.135364,0.115415,0,0,5,5
topk_v4_vs_external_envelope,topk_gate,topk_gate.v4_preflight.library.e32_t128,L1_kernel_body,warm,cuda_local_pair_two_reduce_top2_v4,vllm_row_packed_top2,8.66816,8.86784,1.023036,12.310016,11.15904,0.906501,0.138591,0.131649,0,0,3,5
topk_v4_vs_external_envelope,topk_gate,topk_gate.v4_preflight.library.e32_t2048,L1_kernel_body,warm,cuda_local_pair_two_reduce_top2_v4,vllm_row_packed_top2,8.79104,8.71424,0.991264,12.570112,12.528128,0.99666,0.149999,0.142216,0,0,2,5
topk_v4_vs_external_envelope,topk_gate,topk_gate.v4_preflight.library.e32_t32,L1_kernel_body,warm,cuda_local_pair_two_reduce_top2_v4,vllm_row_packed_top2,9.28256,9.15968,0.986762,12.749824,13.5424,1.062164,0.143988,0.148659,0,0,0,5
topk_v4_vs_external_envelope,topk_gate,topk_gate.v4_preflight.library.e32_t4096,L1_kernel_body,warm,cuda_local_pair_two_reduce_top2_v4,vllm_row_packed_top2,9.11872,9.46176,1.037619,11.36384,11.209216,0.986393,0.1333,0.123429,0,0,3,5
topk_v4_vs_external_envelope,topk_gate,topk_gate.v4_preflight.library.e32_t512,L1_kernel_body,warm,cuda_local_pair_two_reduce_top2_v4,vllm_row_packed_top2,9.05728,8.91392,0.984172,11.633664,12.972544,1.115087,0.129736,0.151291,0,0,3,5
topk_v4_vs_external_envelope,topk_gate,topk_gate.v4_preflight.library.e4_t128,L1_kernel_body,warm,cuda_local_pair_two_reduce_top2_v4,vllm_row_packed_top2,8.69376,8.77056,1.008834,11.416064,11.101184,0.972418,0.121172,0.136387,0,0,3,5
topk_v4_vs_external_envelope,topk_gate,topk_gate.v4_preflight.library.e4_t2048,L1_kernel_body,warm,cuda_local_pair_two_reduce_top2_v4,vllm_row_packed_top2,8.61696,9.20576,1.06833,12.150272,11.33312,0.932746,0.149574,0.097963,0,0,5,5
topk_v4_vs_external_envelope,topk_gate,topk_gate.v4_preflight.library.e4_t32,L1_kernel_body,warm,cuda_local_pair_two_reduce_top2_v4,vllm_row_packed_top2,8.90368,9.25696,1.039678,11.033088,12.508672,1.133742,0.127399,0.129051,0,0,5,5
topk_v4_vs_external_envelope,topk_gate,topk_gate.v4_preflight.library.e4_t4096,L1_kernel_body,warm,cuda_local_pair_two_reduce_top2_v4,vllm_row_packed_top2,8.54016,8.66304,1.014388,10.722304,12.435968,1.159822,0.125651,0.151307,0,0,4,5
topk_v4_vs_external_envelope,topk_gate,topk_gate.v4_preflight.library.e4_t512,L1_kernel_body,warm,cuda_local_pair_two_reduce_top2_v4,vllm_row_packed_top2,8.64256,9.20576,1.065166,11.547136,11.802112,1.022081,0.140558,0.116147,0,0,5,5
topk_v4_vs_external_envelope,topk_gate,topk_gate.v4_preflight.library.e64_t128,L1_kernel_body,warm,cuda_local_pair_two_reduce_top2_v4,vllm_row_packed_top2,8.75008,8.73984,0.99883,11.767296,10.680832,0.907671,0.133834,0.114774,0,0,3,5
topk_v4_vs_external_envelope,topk_gate,topk_gate.v4_preflight.library.e64_t2048,L1_kernel_body,warm,cuda_local_pair_two_reduce_top2_v4,vllm_row_packed_top2,9.27744,9.11872,0.982892,11.465216,12.602368,1.099183,0.107769,0.136052,0,0,2,5
topk_v4_vs_external_envelope,topk_gate,topk_gate.v4_preflight.library.e64_t32,L1_kernel_body,warm,cuda_local_pair_two_reduce_top2_v4,vllm_row_packed_top2,9.10848,9.28256,1.019112,11.48672,12.891136,1.122264,0.131379,0.146009,0,0,3,5
topk_v4_vs_external_envelope,topk_gate,topk_gate.v4_preflight.library.e64_t4096,L1_kernel_body,warm,cuda_local_pair_two_reduce_top2_v4,vllm_row_packed_top2,9.3696,8.20736,0.875956,12.834816,10.544128,0.821525,0.147629,0.138323,0,0,0,5
topk_v4_vs_external_envelope,topk_gate,topk_gate.v4_preflight.library.e64_t512,L1_kernel_body,warm,cuda_local_pair_two_reduce_top2_v4,vllm_row_packed_top2,8.96,9.0112,1.005714,11.364352,11.26912,0.99162,0.138482,0.12622,0,0,4,5
topk_v4_vs_external_envelope,topk_gate,topk_gate.v4_preflight.library.e8_t128,L1_kernel_body,warm,cuda_local_pair_two_reduce_top2_v4,vllm_row_packed_top2,9.0368,9.10336,1.007365,13.089792,11.168256,0.853203,0.139416,0.12316,0,0,3,5
topk_v4_vs_external_envelope,topk_gate,topk_gate.v4_preflight.library.e8_t2048,L1_kernel_body,warm,cuda_local_pair_two_reduce_top2_v4,vllm_row_packed_top2,8.70912,8.66816,0.995297,9.932288,12.02944,1.211145,0.14234,0.142854,0,0,2,5
topk_v4_vs_external_envelope,topk_gate,topk_gate.v4_preflight.library.e8_t32,L1_kernel_body,warm,cuda_local_pair_two_reduce_top2_v4,vllm_row_packed_top2,9.23648,8.93952,0.967849,11.664384,10.794496,0.925424,0.126714,0.115474,0,0,0,5
topk_v4_vs_external_envelope,topk_gate,topk_gate.v4_preflight.library.e8_t4096,L1_kernel_body,warm,cuda_local_pair_two_reduce_top2_v4,vllm_row_packed_top2,8.75008,8.69376,0.993564,12.727808,11.263488,0.884951,0.151766,0.123082,0,0,1,5
topk_v4_vs_external_envelope,topk_gate,topk_gate.v4_preflight.library.e8_t512,L1_kernel_body,warm,cuda_local_pair_two_reduce_top2_v4,vllm_row_packed_top2,8.87296,8.65792,0.975765,11.19232,12.20864,1.090805,0.134723,0.138398,0,0,2,5
histogram_v2_vs_reference_envelope,histogram,histogram.v2.r1048576_e1.single_hot,L2_operator_steady,warm,cuda_candidate_v2,cuda_candidate_v1,3.8912,16.7424,4.302632,9.4208,22.630399,2.402174,0.450303,0.216536,0,0,5,5
